           x [mm]           y [mm]           z [mm]      x [V.s/m^2]      y [V.s/m^2]      z [V.s/m^2]
           -237.9               69             6.13     0.0019645321    -0.0019386123    0.00094849442
           -236.9               69             6.13      0.002022038    -0.0019893073    0.00097504992
           -235.9               69             6.13      0.002081949    -0.0020432761     0.0010019826
           -234.9               69             6.13     0.0021445204    -0.0021010446     0.0010293321
           -244.9               70             6.13     0.0015452913    -0.0016427748    0.00075342751
           -243.9               70             6.13     0.0015965661    -0.0016929803    0.00077734911
           -242.9               70             6.13     0.0016485746    -0.0017434317    0.00080160063
           -241.9               70             6.13     0.0017013163     -0.001794129     0.0008261819
           -240.9               70             6.13     0.0017547917    -0.0018450723    0.00085109298
           -239.9               70             6.13     0.0018090003    -0.0018962611    0.00087633386
           -238.9               70             6.13     0.0018639425    -0.0019476959    0.00090190425
           -237.9               70             6.13     0.0019196179    -0.0019993766    0.00092780468
           -236.9               70             6.13     0.0019760269    -0.0020513029    0.00095403468
           -235.9               70             6.13     0.0020343987    -0.0021057902    0.00098065799
           -234.9               70             6.13     0.0020890213    -0.0021620751     0.0010030649
           -244.9               71             6.13     0.0015067706    -0.0016943378    0.00073454861
           -243.9               71             6.13      0.001556949    -0.0017457749    0.00075814506
           -242.9               71             6.13     0.0016078607    -0.0017974577    0.00078207109
           -241.9               71             6.13      0.001659506    -0.0018493861    0.00080632698
           -240.9               71             6.13     0.0017118846    -0.0019015607    0.00083091273
           -239.9               71             6.13     0.0017649964    -0.0019539807    0.00085582788
           -238.9               71             6.13     0.0018194783    -0.0020050805    0.00088112627
           -237.9               71             6.13     0.0018751197     -0.002055543    0.00090672687
           -236.9               71             6.13     0.0019289911    -0.0021063841    0.00093164516
           -235.9               71             6.13      0.001976758    -0.0021620227    0.00095261529
           -234.9               71             6.13     0.0020278285     -0.002220039    0.00097354158
           -244.9               72             6.13     0.0014670615    -0.0017450037    0.00071525574
           -243.9               72             6.13      0.001516699    -0.0017960176      0.000738742
           -242.9               72             6.13     0.0015672477    -0.0018470346    0.00076249882
           -241.9               72             6.13     0.0016187077    -0.0018980551    0.00078652601
           -240.9               72             6.13     0.0016710786    -0.0019490792    0.00081082346
           -239.9               72             6.13     0.0017243611    -0.0020001067    0.00083539169
           -238.9               72             6.13     0.0017785549    -0.0020511374    0.00086023024
           -237.9               72             6.13     0.0018250023    -0.0021027448    0.00088237179
           -236.9               72             6.13     0.0018679637    -0.0021558756    0.00090325309
           -235.9               72             6.13     0.0019171081    -0.0022147405    0.00092352915
           -234.9               72             6.13     0.0019669011    -0.0022742751    0.00094409304
           -244.9               73             6.13     0.0014288482     -0.001787141    0.00069681188
           -243.9               73             6.13     0.0014779496    -0.0018387269     0.0007198067
           -242.9               73             6.13     0.0015279616    -0.0018903158    0.00074307178
           -241.9               73             6.13     0.0015788851    -0.0019419085    0.00076660747
           -240.9               73             6.13     0.0016307199    -0.0019935044    0.00079041359
           -239.9               73             6.13     0.0016818212    -0.0020450219    0.00081393088
           -238.9               73             6.13     0.0017226818    -0.0020965636    0.00083407445
           -237.9               73             6.13     0.0017637541    -0.0021490897     0.0008545107
           -236.9               73             6.13     0.0018084763    -0.0022059162    0.00087462825
           -235.9               73             6.13     0.0018564648    -0.0022660976    0.00089455128
           -234.9               73             6.13     0.0019051018    -0.0023269486    0.00091476209
           -244.9               74             6.13     0.0013901271    -0.0018287901    0.00067787094
           -243.9               74             6.13     0.0014386917    -0.0018809477    0.00070037408
           -242.9               74             6.13     0.0014881678    -0.0019331088    0.00072314776
           -241.9               74             6.13     0.0015385546    -0.0019852731    0.00074619183
           -240.9               74             6.13      0.001582572    -0.0020364849    0.00076712994
           -239.9               74             6.13     0.0016220289    -0.0020878389    0.00078675279
           -238.9               74             6.13     0.0016616986    -0.0021401786    0.00080666889
           -237.9               74             6.13      0.001701812    -0.0021937671     0.0008268297
           -236.9               74             6.13     0.0017479958    -0.0022545964    0.00084611203
           -235.9               74             6.13     0.0017948279    -0.0023160945     0.0008656818
           -234.9               74             6.13      0.001842309    -0.0023782616    0.00088553951
           -244.9               64             7.13     0.0017706909      -0.00133322    0.00085729774
           -243.9               64             7.13     0.0018292106    -0.0013764653    0.00088308076
           -242.9               64             7.13     0.0018884641    -0.0014199567    0.00090919377
           -241.9               64             7.13     0.0019484509    -0.0014636936     0.0009356364
           -240.9               64             7.13     0.0020091713    -0.0015076763    0.00096240896
           -239.9               64             7.13     0.0020706248    -0.0015519051    0.00098951103
           -238.9               64             7.13     0.0021328123    -0.0015963796      0.001016943
           -237.9               64             7.13     0.0021988337    -0.0016455095     0.0010444238
           -236.9               64             7.13     0.0022662571    -0.0016959159     0.0010722142
           -235.9               64             7.13     0.0023375256    -0.0017444838     0.0011023516
           -234.9               64             7.13     0.0024188864    -0.0017878048     0.0011387072
           -244.9               65             7.13     0.0017398241    -0.0013886167    0.00084132381
           -243.9               65             7.13     0.0017972477    -0.0014330936    0.00086678175
           -242.9               65             7.13     0.0018554041     -0.001477816    0.00089256914
           -241.9               65             7.13     0.0019142942    -0.0015227842    0.00091868639
           -240.9               65             7.13     0.0019739177    -0.0015679983    0.00094513339
           -239.9               65             7.13     0.0020342746    -0.0016134583    0.00097191008
           -238.9               65             7.13     0.0020953652    -0.0016591641     0.0009990168
           -237.9               65             7.13     0.0021598095    -0.0017090087     0.0010262697
           -236.9               65             7.13     0.0022260863    -0.0017608069     0.0010538134
           -235.9               65             7.13     0.0022930943    -0.0018129349     0.0010817313
           -234.9               65             7.13     0.0023689126       -0.0018606     0.0011151899
           -244.9               66             7.13     0.0017076742    -0.0014434317    0.00082488323
           -243.9               66             7.13     0.0017640009    -0.0014891396    0.00085001561
           -242.9               66             7.13     0.0018210609    -0.0015350932    0.00087547768
           -241.9               66             7.13     0.0018788546    -0.0015812932    0.00090126973
           -240.9               66             7.13     0.0019373812    -0.0016277384    0.00092739111
           -239.9               66             7.13     0.0019966417    -0.0016744299    0.00095384265
           -238.9               66             7.13     0.0020566355    -0.0017213669    0.00098062376
           -237.9               66             7.13     0.0021195137    -0.0017718865     0.0010076296
           -236.9               66             7.13     0.0021846443    -0.0018250771     0.0010349264
           -235.9               66             7.13     0.0022505056    -0.0018785972     0.0010625976
           -234.9               66             7.13     0.0023177303    -0.0019320991      0.001091055
           -244.9               67             7.13     0.0016742416    -0.0014976645    0.00080797583
           -243.9               67             7.13     0.0017294714    -0.0015446036    0.00083278259
           -242.9               67             7.13     0.0017854348    -0.0015917888     0.0008579194
           -241.9               67             7.13     0.0018421317    -0.0016392198    0.00088338583
           -240.9               67             7.13      0.001899562    -0.0016868968    0.00090918213
           -239.9               67             7.13     0.0019577257    -0.0017348195    0.00093530823
           -238.9               67             7.13     0.0020166226    -0.0017829877    0.00096176384
           -237.9               67             7.13     0.0020779474    -0.0018341437    0.00098850357
           -236.9               67             7.13     0.0021419311    -0.0018887263     0.0010155536
           -235.9               67             7.13     0.0022066457    -0.0019436383     0.0010429778
           -234.9               67             7.13     0.0022720913    -0.0019988802     0.0010707767
           -244.9               68             7.13     0.0016395261    -0.0015513157    0.00079060154
           -243.9               68             7.13     0.0016936595    -0.0015994862     0.0008150831
           -242.9               68             7.13      0.001748526    -0.0016479028     0.0008398944
           -241.9               68             7.13     0.0018041261    -0.0016965648    0.00086503534
           -240.9               68             7.13     0.0018604598    -0.0017454731    0.00089050632
           -239.9               68             7.13     0.0019175266    -0.0017946272     0.0009163068
           -238.9               68             7.13     0.0019753273     -0.001844027    0.00094243721
           -237.9               68             7.13       0.00203511    -0.0018957797    0.00096889155
           -236.9               68             7.13     0.0020979468    -0.0019517542    0.00099569443
           -235.9               68             7.13     0.0021615152    -0.0020080586     0.0010228722
           -234.9               68             7.13     0.0022258139    -0.0020646923     0.0010504242
           -244.9               69             7.13     0.0016035276    -0.0016043847    0.00077276048
           -243.9               69             7.13      0.001656564    -0.0016537866    0.00079691655
           -242.9               69             7.13     0.0017103341    -0.0017034345    0.00082140247
           -241.9               69             7.13     0.0017648374    -0.0017533283     0.0008462182
           -240.9               69             7.13     0.0018200742    -0.0018034673    0.00087136345
           -239.9               69             7.13     0.0018760448     -0.001853853    0.00089683878
           -238.9               69             7.13     0.0019327484     -0.001904484    0.00092264375
           -237.9               69             7.13     0.0019910012    -0.0019567946    0.00094879349
           -236.9               69             7.13     0.0020526913    -0.0020141613    0.00097534951
           -235.9               69             7.13      0.002115113    -0.0020718577     0.0010022804
           -234.9               69             7.13     0.0021782655    -0.0021298837     0.0010295857
           -244.9               70             7.13     0.0015662459    -0.0016568722    0.00075445254
           -243.9               70             7.13     0.0016181858    -0.0017075053    0.00077828323
           -242.9               70             7.13     0.0016708593    -0.0017583845    0.00080244383
           -241.9               70             7.13     0.0017242659    -0.0018095091    0.00082693389
           -240.9               70             7.13     0.0017784061    -0.0018608801     0.0008517541
           -239.9               70             7.13     0.0018332798    -0.0019124968    0.00087690388
           -238.9               70             7.13     0.0018888869    -0.0019643593    0.00090238336
           -237.9               70             7.13     0.0019456211    -0.0020171884    0.00092820922
           -236.9               70             7.13      0.002006165    -0.0020759474    0.00095451873
           -235.9               70             7.13     0.0020654225    -0.0021341643    0.00097985403
           -234.9               70             7.13     0.0021187288     -0.002190023     0.0010010005
           -244.9               71             7.13     0.0015276815    -0.0017087777    0.00073567784
           -243.9               71             7.13     0.0015785246     -0.001760642    0.00075918302
           -242.9               71             7.13     0.0016301011    -0.0018127523    0.00078301819
           -241.9               71             7.13     0.0016824114    -0.0018651088     0.0008071831
           -240.9               71             7.13     0.0017354551     -0.001917711    0.00083167775
           -239.9               71             7.13     0.0017892318    -0.0019705587    0.00085650198
           -238.9               71             7.13     0.0018437422    -0.0020236524    0.00088165619
           -237.9               71             7.13     0.0018989864    -0.0020769925     0.0009071402
           -236.9               71             7.13     0.0019536191    -0.0021348246    0.00093014288
           -235.9               71             7.13     0.0020050351    -0.0021913562      0.000950847
           -234.9               71             7.13     0.0020571863    -0.0022485422    0.00097177248
           -244.9               72             7.13     0.0014878338    -0.0017601011    0.00071643619
           -243.9               72             7.13     0.0015375804     -0.001813197    0.00073961611
           -242.9               72             7.13     0.0015880604    -0.0018665389    0.00076312583
           -241.9               72             7.13     0.0016392741    -0.0019201264    0.00078696536
           -240.9               72             7.13       0.00169177    -0.0019725179    0.00081122335
           -239.9               72             7.13     0.0017453521    -0.0020244226    0.00083579152
           -238.9               72             7.13     0.0017998453    -0.0020763313    0.00086063013
           -237.9               72             7.13     0.0018444625    -0.0021301201    0.00088130892
           -236.9               72             7.13     0.0018933209    -0.0021888425    0.00090128201
           -235.9               72             7.13     0.0019433466    -0.0022471978    0.00092168571
           -234.9               72             7.13     0.0019943428    -0.0023057116     0.0009423903
           -244.9               73             7.13     0.0014477415    -0.0018075405    0.00069725909
           -243.9               73             7.13     0.0014971425    -0.0018600037    0.00072025409
           -242.9               73             7.13     0.0015474543    -0.0019124703    0.00074351917
           -241.9               73             7.13     0.0015986777    -0.0019649405    0.00076705508
           -240.9               73             7.13     0.0016508118    -0.0020174142     0.0007908612
           -239.9               73             7.13     0.0016985579    -0.0020693496    0.00081321946
           -238.9               73             7.13     0.0017395772    -0.0021212599    0.00083354895
           -237.9               73             7.13     0.0017853203    -0.0021791011    0.00085317966
           -236.9               73             7.13     0.0018330229    -0.0022391407    0.00087279966
           -235.9               73             7.13     0.0018813737    -0.0022998489    0.00089270726
           -234.9               73             7.13     0.0019303733    -0.0023612264    0.00091290259
           -244.9               74             7.13     0.0014084212    -0.0018496608    0.00067836622
